vernacularName,scientificName
Ashy Woodswallow,Artamus fuscus
Madagascan Cuckooshrike,Ceblepyris cinereus
White-tailed Jackrabbit,Lepus townsendii
Karoo Scrub Robin,Cercotrichas coryphoeus
Mountain Alison,Alyssum montanum
Abyssinian Thrush,Turdus abyssinicus
Brown-rumped Seedeater,Crithagra tristriata
Limpkin ssp guarauna,Aramus guarauna guarauna
La Palma Chaffinch,Fringilla coelebs palmae
Cavernous crystalwort,Riccia cavernosa
Cinereous Tit ssp cinereus,Parus cinereus cinereus
Common Dolphin unknown,Delphinus spec.
Seventeen-chromosome Mole-cricket,Gryllotalpa septemdecimchromosomica
Striated Heron ssp striata,Butorides striata striata
Dark-billed Cuckoo,Coccyzus melacoryphus
Island Darter,Sympetrum nigrifemur
Southern Lapwing ssp lampronotus,Vanellus chilensis lampronotus
White-shouldered Triller,Lalage sueurii
Jagged germanderwort,Riccardia chamedryfolia
White-lipped ramshorn snail,Anisus leucostoma
Asparagus-pea,Lotus tetragonolobus
Southern Polypody,Polypodium cambricum
Montpellier Broom,Genista monspessulana
Winged Vetchling,Lathyrus ochrus
Crab Spider,Xysticus cristatus
Tree-mallow,Lavatera arborea
Grey triggerfish,Balistes capriscus
Cuban Crow,Corvus nasicus
Loggerhead Kingbird ssp caudifasciatus,Tyrannus caudifasciatus caudifasciatus
Cuban Pewee ssp caribeus,Contopus caribaeus caribaeus
Dwarf Spanish heath,Erica umbellata
Sea lamprey,Petromyzon marinus
Rescue Brome,Ceratochloa cathartica
Stavesacre,Delphinium staphisagria
Hybrid Tufted Duck x Ferruginous Duck,Aythya fuligula x Aythya nyroca
Wild European Olive,Olea europaea var. sylvestris
Fernandina's Flicker,Colaptes fernandinae
House centipede,Scutigera coleoptrata
West Indian Woodpecker ssp superciliaris,Melanerpes superciliaris superciliaris
Cuban Green Woodpecker,Xiphidiopicus percussus
Mourning Wheatear,Oenanthe lugens
Mussel slurper,Pyrgiscus jeffreysii
Cuban Emerald,Chlorostilbon ricordii
Antillean Palm Swift,Tachornis phoenicobia
Dung earthworm,Eisenia fetida
Western Three-toed Skink,Chalcides striatus
Jersey Buttercup,Ranunculus paludosus
Cuban Pygmy Owl,Glaucidium siju
Bare-legged Owl,Margarobyas lawrencii
Annual Daisy,Bellis annua
Kerry Lily,Simethis planifolia
Hoary rock moss,Racomitrium lanuginosum
Smallflower bird's-foot trefoil,Lotus parviflorus
Stygian Owl,Asio stygius
Orange Bird's-foot,Ornithopus pinnatus
Knight's plume moss,Ptilium crista-castrensis
Sharp-leaved Blind's moss,Blindia acuta
Field Toadflax,Linaria arvensis
Perkin's Mining Bee,Andrena rosae
Earthling Stone Grasshopper,Euryparyphes terrulentus
Long-billed Pipit,Anthus similis
Striolated Bunting,Emberiza striolata
Pale-breasted Thrush ssp albiventer,Turdus leucomelas albiventer
Arabian Warbler,Sylvia leucomelaena
Nubian Nightjar,Caprimulgus nubicus
Grey Hypocolius,Hypocolius ampelinus
Macqueen's Bustard,Chlamydotis macqueenii
Sinai Rosefinch,Carpodacus synoicus
White-cheeked Tern,Sterna repressa
Greyish Saltator ssp olivascens,Saltator coerulescens olivascens
Grey-lined Hawk ssp nitidus,Buteo nitidus nitidus
Whistling Heron ssp sibilatrix,Syrigma sibilatrix sibilatrix
Great Lizard Cuckoo,Coccyzus merlini
Common Mini-mining Bee,Andrena minutula
Band-tailed Seedeater,Catamenia analis
Chestnut-breasted Mountain Finch,Poospiza caesar
White-winged Black Tyrant,Knipolegus aterrimus
Black-and-white Seedeater,Sporophila luctuosa
Black-backed Grosbeak,Pheucticus aureoventris
Lesser Violetear,Colibri cyanotus
Red-crested Cotinga,Ampelion rubrocristatus
Greenish Yellow Finch,Sicalis olivascens
Yellow-chinned Spinetail,Certhiaxis cinnamomeus
Green-rumped Parrotlet ssp passerinus,Forpus passerinus passerinus
Starry ray,Raja radiata
Silvery Argus,Aricia nicias
Ringed Kingfisher ssp torquata,Megaceryle torquata torquata
White-eared Puffbird ssp chacuru,Nystalus chacuru chacuru
Grey-fronted Quail-Dove,Geotrygon caniceps
Field Damsel Bug,Nabis ferus
Blue-headed Quail-Dove,Starnoenas cyanocephala
Red-legged Seriema,Cariama cristata
Bare-throated Bellbird,Procnias nudicollis
Rocky crater lichen,Diploschistes scruposus
Laughing Gull ssp atricilla,Leucophaeus atricilla atricilla
Ando's plait moss,Hypnum andoi
Common nodding moss,Pohlia nutans
Black-hooded Sierra Finch,Phrygilus atriceps
Titicaca Grebe,Rollandia microptera
Moss Mite unknown,Oribatida indet.
Lesser silver water beetle,Hydrochara caraboides
Dented silk moss,Plagiothecium denticulatum
Red-backed Sierra Finch,Phrygilus dorsalis
Rufous-collared Sparrow ssp pulacayensis,Zonotrichia capensis pulacayensis
Puna Teal,Spatula puna
Plumbeous Sierra Finch,Phrygilus unicolor
James's Flamingo,Phoenicoparrus jamesi
Citron-headed Yellow Finch,Sicalis luteocephala
Lesser Rhea ssp garleppi,Rhea pennata garleppi
Tawny-throated Dotterel,Oreopholus ruficollis
Crested Duck ssp alticola,Lophonetta specularioides alticola
Mountain Caracara,Phalcoboenus megalopterus
Taiwan Bamboo Partridge,Bambusicola sonorivox
Chalk Milkwort,Polygala calcarea
Freshwater hydroid,Cordylophora caspia
Star-fruited Fenugreek,Trigonella monspeliaca
Meerkat,Suricata suricatta
Broad-leaved Cutweed,Filago pyramidata
Small-fruit Pheasant's-eye,Adonis microcarpa
Lotus tree,Ziziphus lotus
Prostrate sandmat,Euphorbia prostrata
Recurved Thorn-apple,Datura innoxia
Broom Case-bearer,Coleophora saturatella
Gem,Nycterosea obstipata
Sickle Spurge,Euphorbia falcata
Crimson-hooded Manakin ssp aureola,Pipra aureola aureola
Black-crested Antshrike ssp canadensis,Sakesphorus canadensis canadensis
Blood-colored Woodpecker,Veniliornis sanguineus
Glittering-throated Emerald ssp fimbriata,Amazilia fimbriata fimbriata
Chestnut-headed Oropendola,Psarocolius wagleri
Maidenhair-tree,Ginkgo biloba
Plain Xenops,Xenops minutus
Spanish Stonecrop,Sedum hispanicum
King rag worm,Alitta virens
Western Osprey ssp ridgwayi,Pandion haliaetus ridgwayi
American White Ibis ssp albus,Eudocimus albus albus
Blue-footed Booby ssp nebouxii,Sula nebouxii nebouxii
African Black Duck,Anas sparsa
Cuban Black Hawk,Buteogallus gundlachii
Tattered Medick,Medicago laciniata
Yellow-billed Teal ssp flavirostris,Anas flavirostris flavirostris
White-backed Stilt,Himantopus melanurus
Buff-necked Ibis ssp hyperorius,Theristicus caudatus hyperorius
Southern Screamer,Chauna torquata
Naked launaea,Launaea nudicaulis
Blond Plantain,Plantago ovata
Scarlet synomorium,Cynomorium coccineum
Plumbeous Ibis,Theristicus caerulescens
Scarlet Flycatcher,Pyrocephalus rubinus
Golden-billed Saltator ssp aurantiirostris,Saltator aurantiirostris aurantiirostris
Brazilian Teal ssp ipecutiri,Amazonetta brasiliensis ipecutiri
American Kestrel ssp cinnamominus,Falco sparverius cinnamominus
Red brome,Bromus rubens
White-tipped Plantcutter ssp rutila,Phytotoma rutila rutila
Turkish snail,Helix lucorum
Hybrid Barnacle Goose x Red-breasted Goose,Branta leucopsis x Branta ruficollis
Hollow-leaved Asphodel,Asphodelus fistulosus
Quebracho Crested Tinamou ssp mira,Eudromia formosa mira
Chinese stranvaesia,Stranvaesia davidiana
Collared Plover,Charadrius collaris
Black-crested Finch,Lophospingus pusillus
Taiwan Rosefinch,Carpodacus formosanus
Many-colored Chaco Finch,Saltatricula multicolor
Peacock's tail,Padina pavonica
Spotted seahare,Aplysia dactylomela
Lesser Horseshoe Vetch,Hippocrepis ciliata
Andean Cock-of-the-rock ssp saturatus,Rupicola peruvianus saturatus
Common Potoo ssp griseus,Nyctibius griseus griseus
Rufous-collared Sparrow ssp peruviensis,Zonotrichia capensis peruviensis
White mothvine,Araujia sericifera
Disk Cress,Clypeola jonthlaspi
Branched St Bernard's-lily,Anthericum ramosum
Virgin's-bower,Clematis flammula
Corn Spurge,Euphorbia segetalis
Round-leaved St John's-wort,Hypericum nummularium
Olive scribble lichen,Opegrapha vulgata
Ladder Brake,Pteris vittata
Shiny camouflage lichen,Melanelixia fuliginosa
Clover Weevil,Sitona hispidulus
Desert Skimmer,Orthetrum ransonnetii
Abyssinian Owl,Asio abyssinicus
Rosy-faced Lovebird,Agapornis roseicollis
Buff-bellied Warbler,Phyllolais pulchella
Cretan Wall Lizard,Podarcis cretensis
Common green bryum,Bryum pseudotriquetrum
Knieff's hook moss,Drepanocladus aduncus
Felted leafy moss,Rhizomnium pseudopunctatum
Greater Flameback,Chrysocolaptes guttacristatus
Thinlip mullet,Liza ramada
Blue-winged Goose,Cyanochen cyanoptera
Black Skimmer ssp cinerascens,Rynchops niger cinerascens
Atlantic blue crab,Callinectes sapidus
Mud sagartia,Sagartia troglodytes
Lathe acteon,Acteon tornatilis
Hybrid Greater White-fronted Goose x Barnacle Goose,Anser albifrons x Branta leucopsis
Tricolored Heron ssp tricolor,Egretta tricolor tricolor
Creeping fingerwort,Lepidozia reptans
Aquatic oligochaete worm,Nais elinguis
Great Kiskadee ssp sulphuratus,Pitangus sulphuratus sulphuratus
Octagonal-tail worm,Dendrobaena octaedra
Sea-mouse,Aphrodita aculeata
Cape Mountain Zebra,Equus zebra zebra
Elephant-ears,Bergenia crassifolia
Blonde skate,Raja brachyura
Jelly bryozoan,Alcyonidium gelatinosum
Orange Weaver,Ploceus aurantius
Great tailed leech,Piscicola geometra
Strawberry blossom weevil,Anthonomus rubi
Black Kite ssp migrans,Milvus migrans migrans
Carrion Crow ssp corone,Corvus corone corone
Endive pellia,Pellia endiviifolia
Australian tube worm,Ficopomatus enigmaticus
Common Sea Slater,Ligia oceanica
Siberian Stonechat ssp variegatus,Saxicola maurus variegatus
Bonelli's Eagle ssp fasciata,Aquila fasciata fasciata
Bulbous Comfrey,Symphytum bulbosum
Eurasian Curlew ssp orientalis,Numenius arquata orientalis
Slender broomrape,Orobanche gracilis
Reeves's Muntjac,Muntiacus reevesi
Lenten-rose,Helleborus orientalis agg.
Pheasant's-eye,Adonis annua
Pallas's Sandgrouse,Syrrhaptes paradoxus
Italian Cypress,Cupressus sempervirens
Spreading beaked moss,Oxyrrhynchium hians
Golden-browed Chlorophonia,Chlorophonia callophrys
Hybrid American Coot x Caribbean Coot,Fulica americana x Fulica caribaea
Red-capped Manakin,Ceratopipra mentalis
Common Nightingale ssp megarhynchos,Luscinia megarhynchos megarhynchos
Orange-chinned Parakeet,Brotogeris jugularis
Rock Spleenwort,Asplenium foreziense
Masterwort,Peucedanum ostruthium
Alpine Gypsophila,Gypsophila repens
Alpine Blue-sow-thistle,Cicerbita alpina
Zulla silvestre,Hedysarum hedysaroides
Alpine Rose,Rosa pendulina
Narcissus anemone,Anemone narcissiflora
Large Sallow Mining Bee,Andrena apicata
Greasy speck lichen,Verrucaria pinguicula
Thick-billed Raven,Corvus crassirostris
Algerian Skink,Eumeces algeriensis
Purple Grenadier,Uraeginthus ianthinogaster
Northern Grosbeak-Canary,Crithagra donaldsoni
Foxy Lark,Calendulauda alopex
Somali Fiscal,Lanius somalicus
Western Marsh Harrier ssp aeruginosus,Circus aeruginosus aeruginosus
Alpine scullcap,Scutellaria alpina
Black-winged Lapwing,Vanellus melanopterus
Great Southern White,Ascia monuste monuste
Teleus Longtail,Urbanus teleus
Somali Crow,Corvus edithae
Dorantes Longtail,Urbanus dorantes
Yellow Angled-Sulphur,Anteos maerula
Alumroot,Heuchera micrantha
Dina Yellow,Eurema dina
Chestnut-naped Spurfowl,Pternistis castaneicollis
Lesser Honeywort,Cerinthe minor
White Peacock,Anartia jatrophae
Northern Mestra,Mestra amymone
White Scrub-Hairstreak,Strymon albata
Whirlabout Skipper,Polites vibex
Cloudless Sulphur,Phoebis sennae
Gray Cracker,Hamadryas februa
Blue-eyed Sailor,Dynamine dyonis
Four-spotted sailor,Dynamine postverta
Malachite,Siproeta stelenes
Tailed Orange,Pyrisitia proterpia
Red Rim,Biblis hyperia
Ethiopian Siskin,Serinus nigriceps
Pale-banded Crescent,Anthanassa tulcis
Rufous Chatterer,Argya rubiginosa
Julia Heliconian,Dryas iulia
Von der Decken's Hornbill,Tockus deckeni
Gulf Fritillary,Agraulis vanillae
Mexican Fritillary,Euptoieta hegesia
Little Rock Thrush,Monticola rufocinereus
Mimosa yellow,Pyrisitia nise
Plain Longtail,Urbanus simplicius
Bordered Patch,Chlosyne lacinia
Red-throated Wryneck,Jynx ruficollis
Astala Eighty-eight,Diaethria astala astala
Forest Crested Lizard,Calotes emma
Elf Owl,Micrathene whitneyi
Mexican Jay,Aphelocoma wollweberi
Helenor Morpho,Morpho helenor
Viardi White,Pieriballia viardi
Many-banded Daggerwing,Marpesia chiron
Gold-spotted Aguna,Aguna asander
Banded longwing,Dryadula phaetusa
Red-bordered Pixie,Melanis pixe
Turk's-cap White-Skipper,Heliopetes macaira
Zebra-striped Hairstreak,Panthiades bathildes
Theona Checkerspot,Chlosyne theona
Eastern Tailed Blue,Cupido comyntas
Creamy Hairstreak,Arawacus jada
Veined White-Skipper,Heliopetes arsalte
Black-bordered Tegosa,Tegosa anieta
Clio Crescent,Eresia clio
Banded Peacock,Anartia fatima
Fine-lined Hairstreak,Arawacus sito
Dina Yellow,Pyrisitia dina
Glassy-winged Skipper,Xenophanes tryxus
Plain Satyr,Cissia pompilia
Tropical Checkered Skipper,Pyrgus oileus
Crimson-patched Longwing,Heliconius erato petiverana
Barnes' Metalmark,Detritivora barnesi
Double-banded Banner,Pyrrhogyra otolais
Mexican Cycadian,Eumaeus toxea
Zebra Heliconian,Heliconius charithonia
Thoas swallowtail,Heraclides thoas
Garden Pink-sorrel,Oxalis latifolia
Fennel-flower,Nigella hispanica
Marsh whorl snail,Vertigo antivertigo
Turquoise Tanager ssp mexicana,Tangara mexicana mexicana
Common Ground Dove ssp griseola,Columbina passerina griseola
White-collared Pigeon,Columba albitorques
Small snakelocks anemone,Sagartiogeton undatus
Somali Sparrow,Passer castanopterus
Masked Crab,Corystes cassivelaunus
Hook-billed Kite ssp uncinatus,Chondrohierax uncinatus uncinatus
Carpathian disc lichen,Lecidella carpathica
Ecuadorian Trogon,Trogon mesurus
Rufous-necked Wood Rail,Aramides axillaris
Peruvian Plantcutter,Phytotoma raimondii
Rufous Flycatcher,Myiarchus semirufus
Pacific Pygmy Owl,Glaucidium peruanum
Great Grey Shrike ssp excubitor,Lanius excubitor excubitor
Prostrate Toadflax,Linaria supina
White-eyed Parakeet,Psittacara leucophthalmus
Red-rumped Cacique ssp haemorrhous,Cacicus haemorrhous haemorrhous
Yellow-rumped Cacique ssp cela,Cacicus cela cela
Marsh Owl ssp capensis,Asio capensis capensis
Spotted Thick-knee ssp capensis,Burhinus capensis capensis
White-bellied Bustard ssp erlangeri,Eupodotis senegalensis erlangeri
Thomson's Gazelle,Eudorcas thomsonii
Marvelous Spatuletail,Loddigesia mirabilis
African Stonechat ssp axillaris,Saxicola torquatus axillaris
Red-capped Lark ssp saturatior,Calandrella cinerea saturatior
Cinnamon-chested Bee-eater,Merops oreobates
Blue-naped Mousebird ssp pulcher,Urocolius macrourus pulcher
Fischer's Sparrow-Lark,Eremopterix leucopareia
Kilimanjaro Two-horned Chamaeleon,Kinyongia tavetana
Speckled Mousebird ssp kikuyensis,Colius striatus kikuyensis
Grey-winged Inca Finch,Incaspiza ortizi
Ochre Bush Squirrel,Paraxerus ochraceus
Cliff Flycatcher ssp sclateri,Hirundinea ferruginea sclateri
Common Impala,Aepyceros melampus melampus
Vermilion Tanager,Calochaetes coccineus
Red-billed Buffalo Weaver ssp intermedius,Bubalornis niger intermedius
Grey-capped Social Weaver ssp dorsalis,Pseudonigrita arnaudi dorsalis
Ashy Starling,Lamprotornis unicolor
Northern White-crowned Shrike,Eurocephalus ruppelli
Brown-crowned Tchagra ssp minor,Tchagra australis minor
Slate-colored Boubou,Laniarius funebris
Grey-backed Camaroptera ssp intercalata,Camaroptera brevicaudata intercalata
Spotted Palm Thrush ssp intercalans,Cichladusa guttata intercalans
Dark-capped Bulbul ssp layardi,Pycnonotus tricolor layardi
White-faced Nunbird,Hapaloptila castanea
D'Arnaud's Barbet ssp emini,Trachyphonus darnaudii emini
Tanzanian Red-billed Hornbill,Tockus ruahae
Little Bee-eater ssp meridionalis,Merops pusillus meridionalis
Speckled Mousebird ssp cinerascens,Colius striatus cinerascens
Bare-faced Go-away-bird ssp leopoldi,Corythaixoides personatus leopoldi
Buff-crested Bustard,Lophotis gindiana
Crested Francolin ssp grantii,Dendroperdix sephaena grantii
White-headed Vulture,Trigonoceps occipitalis
Rose-fronted Parakeet ssp peruviana,Pyrrhura roseifrons peruviana
Oilbird,Steatornis caripensis
Lanceolated Monklet,Micromonacha lanceolata
Andean Saddle-back Tamarin,Saguinus fuscicollis leucogenys
White-throated Screech Owl ssp remotus,Megascops albogularis remotus
Chestnut-crested Cotinga ssp rufaxilla,Ampelion rufaxilla rufaxilla
Fasciated Tiger Heron ssp salmoni,Tigrisoma fasciatum salmoni
Sparkling Violetear ssp coruscans,Colibri coruscans coruscans
Hybrid Larch,Larix x marschlinsii (L. decidua x kaempferi)
Chestnut-sided Warbler,Setophaga pensylvanica
Black-chested Jay ssp zeledoni,Cyanocorax affinis zeledoni
European Turn-sole,Heliotropium europaeum
Yellow-tailed Black Cockatoo,Calyptorhynchus funereus
Tasmanian Echidna,Tachyglossus aculeatus setosus
Common Wombat,Vombatus ursinus
Tasmanian Devil,Sarcophilus harrisii
Costate vallonia,Vallonia costata
Eastern Quoll,Dasyurus viverrinus
Delicate stonewort,Chara virgata
Sulphur stubble lichen,Chaenotheca furfuracea
Collared Pratincole ssp pratincola,Glareola pratincola pratincola
Lichtenstein's Sandgrouse ssp lichtensteinii,Pterocles lichtensteinii lichtensteinii
Hybrid Lesser White-fronted Goose x Emperor Goose,Anser erythropus x Anser canagica
Hutchins's Canada Goose,Branta hutchinsii minima
Fish unknown,Pisces spec.
Blue lettuce,Lactuca perennis
Violaceous Euphonia ssp violacea,Euphonia violacea violacea
Traling Snapdragon,Asarina procumbens
Bumpy rim-lichen,Lecanora hybocarpa
Santa Cruz Island Fox,Urocyon littoralis santacruzae
Hybrid Unknown Goose (Anser) x Snow Goose,Anser spec. x Anser caerulescens
Narrow-leaved Toadflax,Linaria angustissima
Tree lavatera,Lavatera olbia
Band-tailed Pigeon,Patagioenas fasciata
African Green Toad,Bufotes boulengeri
Western False Smooth Snake,Macroprotodon brevis
Coastal Common Fringe-toed Lizard,Acanthodactylus lineomaculatus
Brosset's Lizard-fingered Gecko,Saurodactylus brosseti
Many-scaled Cylindrical Skink,Chalcides polylepis
Golden Fringe-fingered Lizard,Acanthodactylus aureus
Boa Constrictor,Boa constrictor
Spanish Sparrow ssp hispaniolensis,Passer hispaniolensis hispaniolensis
Unidentified bug,Heteroptera indet.
Ellipsen Waterbuck,Kobus ellipsiprymnus ellipsiprymnus
Yellow-billed Oxpecker ssp africanus,Buphagus africanus africanus
Frizzled pincushion,Ulota phyllantha
Nit beard lichen,Usnea subfloridana
American Beaver,Castor canadensis
Scallop,Pecten maximus
Flame-colored Tanager,Piranga bidentata
Long-tailed Silky-flycatcher,Ptiliogonys caudatus
Black-faced Solitaire,Myadestes melanops
Black-capped Flycatcher,Empidonax atriceps
Northern Tufted Flycatcher,Mitrephanes phaeocercus
White-throated Mountaingem,Lampornis castaneoventris
Keelworm,Spirobranchus triqueter
Wrinkled rock borer,Hiatella arctica
Long-billed Curlew,Numenius americanus
Spotted Tody-Flycatcher ssp maculatum,Todirostrum maculatum maculatum
Bare-necked Fruitcrow,Gymnoderus foetidus
Hybrid Common Pochard x Red-crested Pochard,Aythya ferina x Netta rufina
Hanging Golden Bell,Forsythia suspensa
Yellow boxfish,Ostracion cubicus
Pigmy Skipper,Gegenes pumilio
Grivet Monkey,Chlorocebus aethiops
Black-billed Magpie,Pica hudsonia
East Canary Gecko,Tarentola angustimentalis
St. Christopher Ameiva,Ameiva erythrocephala
Gelada,Theropithecus gelada
Common joker,Byblia anvatara
Clouded mother-of-pearl,Protogoniomorpha anacardii
Spotted Joker,Byblia ilithyia
Mocker Swallowtail,Papilio dardanus
Abyssinian Admiral,Vanessa abyssinica
Spectacled Warbler ssp conspicillata,Sylvia conspicillata conspicillata
Blue Pansy,Junonia orithya
Common Kingfisher ssp atthis,Alcedo atthis atthis
Lingzhi mushroom,Ganoderma lucidum
Freshwater jellyfish,Craspedacusta sowerbii
Cetti's Warbler ssp cetti,Cettia cetti cetti
Scintillant Hummingbird,Selasphorus scintilla
Eastern mosquitofish,Gambusia holbrooki
Arabian Warbler ssp negevensis,Sylvia leucomelaena negevensis
Sardinian Warbler ssp momus,Sylvia melanocephala momus
Black-bellied Sandgrouse ssp orientalis,Pterocles orientalis orientalis
Spanish Sparrow ssp transcaspicus,Passer hispaniolensis transcaspicus
Ruddy Daggerwing,Marpesia petreus
Collared Peccary,Pecari tajacu
Deppe's Squirrel,Sciurus deppei
Red-throated Ant Tanager,Habia fuscicauda
Crimson-collared Tanager,Ramphocelus sanguinolentus
Yellow-thighed Finch,Pselliophorus tibialis
Fork-tailed Flycatcher,Tyrannus savana
Ruddy-capped Nightingale-Thrush,Catharus frantzii
Black-billed Nightingale-Thrush,Catharus gracilirostris
Carline Skipper,Pyrgus carlinae
Black Phoebe ssp amnicola,Sayornis nigricans amnicola
Yellowish Flycatcher,Empidonax flavescens
Wreathed Hornbill,Rhyticeros undulatus
Sykes' Wagtail,Motacilla flava beema
White Lupin,Lupinus albus
Creeping croftonweed,Ageratina riparia
Neglected Cave-cricket,Troglophilus neglectus
Oceanic whitetip shark,Carcharhinus longimanus
Shrubby Russian thistle,Salsola vermiculata
Rosy dock,Rumex vesicarius
Purple-washed Skipper,Panoquina lucas
Rusty-margined Flycatcher,Myiozetetes cayanensis
Red-crowned Woodpecker,Melanerpes rubricapillus
Panamanian Flycatcher,Myiarchus panamensis
Tenthredinidae unknown,Tenthredinidae indet.
Point snail,Acicula fusca
Wavy heliotrope,Heliotropium ramosissimum
Scarlet Robin,Petroica boodang
Common Tody-Flycatcher,Todirostrum cinereum
Broad-leaved Spurge,Euphorbia platyphyllos
Blue Dacnis ssp cayana,Dacnis cayana cayana
Naumann's Thrush,Turdus naumanni
Cape-ivy,Senecio angulatus
Mediterranena Rye-grass,Lolium rigidum
Coastal galenia,Galenia pubescens
Tropical Kingbird ssp satrapa,Tyrannus melancholicus satrapa
Roadside Hawk ssp petulans,Rupornis magnirostris petulans
Rock Bunting ssp cia,Emberiza cia cia
Hacquetia,Hacquetia epipactis
Sand Partridge ssp heyi,Ammoperdix heyi heyi
Wavy-leaved broom moss,Dicranum polysetum
Bertoloni's Bee Orchid,Ophrys bertolonii
Straw Belle,Aspitates gilvaria
Heath Fritillary,Melitaea celadussa
Short-tailed Vole,Microtus agrestis
Least case-bearer,Coleophora juncicolella
Orange-barred Sulphur,Phoebis philea
Guiana Spiderlegs,Planiplax phoenicura
Red-tailed Skimmer,Orthemis schmidti
Sooty Saddlebags,Tramea binotata
Flame-tailed Pondhawk,Erythemis peruviana
Claret Pondhawk,Erythemis mithroides
Pin-tailed Pondhawk,Erythemis plebeja
Blue-eyed Fairy,Elga leptostyla
Blue-eyed Setwing,Dythemis nigra
Red-tailed Blackwing,Diastatops obscura
Red-tailed Pennant,Brachymesia furcata
Mottled Streamskimmer,Elasmothemis constricta
Red Pondhawk,Erythemis haematogastra
Mottled Dragonlet,Erythrodiplax avittata
Two-striped Sanddragon,Progomphus complicatus
Spine-bellied Dryad,Nephepeltia phryne
Austral Forktail,Ischnura fluviatilis
Tiny Forktail,Ischnura capreolus
Blue Pondhawk,Erythemis credula
Scarlet Spiderlegs,Planiplax arachne
Marbled Ringlet,Erebia montana
Greek Slow Worm,Anguis cephallonica
South American Tigertail,Cacoides latro
Double-ringed Forceptail,Aphylla theodorina
Greek Predatory Bush-cricket,Saga hellenica
Olive-capped Warbler,Setophaga pityophila
Pale Mexican Poppy,Argemone ochroleuca
Mexican Poppy,Argemone mexicana
Sea-heath,Frankenia laevis
Berry Saltbush,Atriplex semibaccata
Coastal morning-glory,Ipomoea cairica
Splendid Cruiser,Macromia splendens
Northern Shrike ssp borealis,Lanius borealis borealis
Eastern Barn Owl ssp stertens,Tyto javanica stertens
Hainan Blue Flycatcher,Cyornis hainanus
Giant Honeybee,Apis dorsata
Black-veined Leafwing,Consul excellens
Beach Skipper,Panoquina panoquinoides
Erichson's White-Skipper,Heliopyrgus domicella
Fairy Yellow,Eurema daira
Hermes Satyr,Hermeuptychia hermes
Long-tailed Broadbill ssp psittacinus,Psarisomus dalhousiae psittacinus
Striped Field Mouse,Apodemus agrarius
Peregrine Falcon ssp tundrius,Falco peregrinus tundrius
Syrian Woodpecker ssp syriacus,Dendrocopos syriacus syriacus
Graceful Prinia ssp deltae,Prinia gracilis deltae
Griffon Vulture ssp fulvus,Gyps fulvus fulvus
Southern Smooth Snake,Coronella girondica
Red Peacock,Anartia amathea
Reverdin's Marbled Skipper,Carcharodus stauderi
Christmas Butterfly ssp demodocus,Papilio demodocus demodocus
Grassland puffball,Lycoperdon lividum
Scarce wood case-bearer,Coleophora currucipennella
Largescale foureyes,Anableps anableps
Tropical Milkweed,Asclepias curassavica
Wood Vetch,Vicia sylvatica
Hymenoptera unknown,Hymenoptera indet.
Central American Cacomistle,Bassariscus sumichrasti
Plumed Fan-foot,Polypogon plumigeralis
Orange-backed Woodpecker ssp xanthopygius,Reinwardtipicus validus xanthopygius
Checker-throated Woodpecker ssp humii,Chrysophlegma mentale humii
Banded Kingfisher,Lacedo pulchella
African Paradise Flycatcher ssp ferreti,Terpsiphone viridis ferreti
Jameson's Firefinch ssp jamesoni,Lagonosticta rhodopareia jamesoni
Blue Waxbill ssp niassensis,Uraeginthus angolensis niassensis
House Sparrow ssp indicus,Passer domesticus indicus
Little Cuckoo-Dove,Macropygia ruficeps
Pale-billed Hornbill ssp neumanni,Lophoceros pallidirostris neumanni
Hybrid Greylag Goose x Bar-headed Goose,Anser anser x Anser indicus
Kilombero Weaver,Ploceus burnieri
African Wattled Lapwing ssp lateralis,Vanellus senegallus lateralis
Collared Pratincole ssp fuelleborni,Glareola pratincola fuelleborni
False Himalayan berry,Rubus geniculatus
Alpine Lady's-mantle,Alchemilla alpina
Warty venus shell,Venus verrucosa
Cape Siskin,Crithagra totta
Black Saw-wing ssp holomelas,Psalidoprocne pristoptera holomelas
Cape Grey Mongoose,Herpestes pulverulentus
African Black Swift,Apus barbatus
Cape Shoveler,Spatula smithii
Little Grebe ssp capensis,Tachybaptus ruficollis capensis
Grey Rhebok,Pelea capreolus
Bar-throated Apalis,Apalis thoracica
Red-chested Cuckoo,Cuculus solitarius
Bananaquit ssp uropygialis,Coereba flaveola uropygialis
Macaroni Penguin,Eudyptes chrysolophus
Emperor Penguin,Aptenodytes forsteri
Lemon Dove,Columba larvata
Cape White-eye ssp capensis,Zosterops virens capensis
Southern Boubou,Laniarius ferrugineus
Swee Waxbill,Coccopygia melanotis
Forest Canary,Crithagra scotops
Chorister Robin-Chat,Cossypha dichroa
Greater Double-collared Sunbird,Cinnyris afer
Streaky-headed Seedeater,Crithagra gularis
Afro-Australian Fur Seal,Arctocephalus pusillus
Crowned Cormorant,Microcarbo coronatus
Red-necked Spurfowl,Pternistis afer
Knysna Turaco,Tauraco corythaix
Blue-mantled Crested Flycatcher,Trochocercus cyanomelas
Southern Pochard,Netta erythrophthalma
Lesser Swamp Warbler,Acrocephalus gracilirostris
Terrestrial Brownbul,Phyllastrephus terrestris
Narina Trogon,Apaloderma narina
Karoo Korhaan,Eupodotis vigorsii
Bontebok / Blesbok,Damaliscus pygargus
