Var1,Freq
Stripe-breasted Wren,48
Red-vented Malimbe,48
Saffron-crested Tyrant-Manakin,48
Zoe's Imperial Pigeon,48
Yellow-breasted Warbler ssp montis,48
Aegean Skipper,47
Austral Parakeet,47
Black-tailed Nativehen,47
Black-throated Flowerpiercer,47
Black Stilt,47
Blue Heath,47
Blunt-headed Tree Snake,47
Collared Warbling Finch,47
Common European Tuskshell,47
Common Kestrel ssp neglectus,47
Drakensberg Siskin,47
Elegant Parrot,47
GÃ¼nther's Dik-dik,47
Grass-green Tanager,47
Grey Heron ssp monicae,47
Guiana Spiderlegs,47
Hairy Yellow-vetch,47
Koklass Pheasant,47
Laughing Dove ssp phoenicophila,47
Lilac-breasted Roller ssp caudatus,47
Little Tern ssp sinensis,47
Ludwig's Bustard,47
Malabar Grey Hornbill,47
Mountain White-eye,47
Noisy Pitta,47
Pearl-breasted Swallow,47
Peruvian Sierra Finch,47
Pied Kingfisher ssp leucomelanurus,47
Red-lored Amazon,47
Rusty-tipped Page,47
Southern Brown-throated Weaver,47
Spot-breasted Oriole,47
Streaked Wren-Babbler,47
Sunda Flying Lemur,47
Triangle,47
Twiggy Mullein,47
Water Chestnut,47
White-backed Stilt,47
White-headed Vanga,47
Zeledon's Antbird ssp berlepschi,47
Black-winged Red Bishop ssp hordeaceus,47
Clary,47
Collared Falconet,47
Common Swift ssp apus,47
Fiery-browed Starling,47
Giant Scabious,47
Sudan Mastigure,47
Banded longwing,47
Dwarf Mouse-ear,47
Hop-hornbeam,47
Rough Marsh-mallow,47
Tuberous Comfrey,47
Indochinese Yuhina,47
Mangrove Warbler ssp aureola,47
Oriental Pied Hornbill ssp albirostris,47
Cave Swallow,47
Maguari Stork,47
Palm Cockatoo,47
Black Hawk-Eagle,47
Tar lichen,47
Woodland Kingfisher ssp senegalensis,47
Rufous-breasted Accentor,47
Thin tellin,47
Central African Warthog,47
Fourline nudibranch,47
Tapegrass,47
Vivid Dancer,47
Wild Tamarind,47
Mexican Forktail,47
Ornate Pennant,47
Black-faced Hawk,47
Brown-spot Pinion,47
Common Buzzard ssp menetriesi,47
Alpine Saddle-backed Bush-cricket,46
Azalea leaf-miner,46
Bali Myna,46
Barred Becard,46
Bengal Monitor,46
Bicoloured White-toothed Shrew,46
Black-bellied Starling,46
Black-breasted Thrush,46
Black-tailed Crake,46
Black Redstart ssp semirufus,46
Brown Wood Owl,46
Cassin's Finch,46
Citrine Wagtail ssp citreola,46
Common Green Metalwing,46
Common Sage,46
Common Starling ssp vulgaris,46
Crab Brittlegill,46
Crimson Rosella ssp elegans,46
Dark-capped Bulbul ssp layardi,46
Fine-spotted Woodpecker ssp punctuligera,46
Forest Buzzard,46
Freckle-breasted Woodpecker,46
Golden Fringe-fingered Lizard,46
Green Jay,46
Grey-headed Canary-flycatcher ssp ceylonensis,46
Hybrid Little Egret x Western Reef Heron,46
Indian Spotted Eagle,46
Long-finned Pilot Whale (Northern Atlantic),46
"Lungwort, Lung lichen",46
Nine-banded Armadillo,46
Queen parrotfish,46
Ratchet-tailed Treepie,46
Senegal Parrot ssp senegalus,46
Southern Polypody,46
Streaked Flycatcher,46
Streaked Saltator,46
Turquoise Cotinga,46
White-crowned Parrot,46
White-tailed Antelope Squirrel,46
White rim-lichen,46
Wrentit,46
Yellow-billed Oxpecker ssp africanus,46
Beautiful Sunbird ssp pulchellus,46
Buff birch case-bearer,46
Coal Tit ssp vieirae,46
Eastern Bluebird,46
Field Sparrow,46
Grey-throated Barbet,46
Grey Heron ssp jouyi,46
Marbled cellar spider,46
Morelet's Seedeater ssp morelleti,46
Orange Lily,46
Philippine Megapode,46
Pied Heron,46
Pin-tailed Manakin,46
Tall Nightshade,46
White-throated Mountaingem,46
Yellow-bellied Waxbill,46
Himalayan Rubythroat,46
Indian Vulture,46
Ling Pug,46
Moss bladder snail,46
RÃ¼ppell's Parrot,46
Unidentified March fly,46
White-faced Storm Petrel,46
Coastal black gooseberry,46
Hybrid Larch,46
Lilford's Wall Lizard,46
Many-celled Skimmer,46
North American River Otter,46
Plum Lappet,46
Rough Poppy,46
Wavy heliotrope,46
Black-throated Saltator,46
Blue-berried Honeysuckle,46
Common Goldenring (ssp boltonii),46
Dartford Warbler ssp dartfordiensis,46
Houting,46
Loten's Sunbird ssp lotenius,46
Orange-backed Troupial,46
Pale-footed horsehair lichen,46
Pod Razor,46
Red-eared Fruit Dove,46
Reed Damsel Bug,46
Three-lobed Stork's-bill,46
Long-winged Mountain Grasshopper,46
Red-fronted Parrot,46
Eastern Least Clubtail,46
Long-billed Pipit ssp arabicus,46
Straight-billed Hermit,46
King Bird-of-paradise,46
American whitespotted filefish,45
Black-naped Fruit Dove,45
Black Mining Bee,45
Cassin's Spinetail,45
Common thorn midget,45
De Lesse's Brassy Ringlet,45
Dusky Myzomela,45
Dwarf Brittle Starfish,45
Golden-sided Euphonia,45
Green dot lichen,45
Grey-crowned Yellowthroat,45
Grey Peacock-Pheasant,45
Honey-berry,45
Indian Roller ssp indicus,45
Kikuyu White-eye,45
Kori Bustard ssp kori,45
Least case-bearer,45
Lesser Sand Plover ssp atrifrons,45
Long-tailed Ground Roller,45
Madagascan Pratincole,45
Marsh leafy moss,45
Musk Lorikeet,45
Nepal Grey Langur,45
Red-bellied Racer,45
Red-faced Cisticola,45
Red-wattled Lapwing ssp atronuchalis,45
Rufous Mourner,45
Running rockcress,45
Sahara Bluetail,45
Santa Marta Antpitta,45
Sri Lanka Whistling Thrush,45
Swamp Boubou,45
Tractrac Chat,45
Varied Honeyeater,45
Violet Cabbage,45
White-winged Collared Dove,45
Yellow-casqued Hornbill,45
Yellow-fronted Tinkerbird ssp chrysoconus,45
Yellow-striped Flutterer,45
Ashy Woodpecker,45
Brassy-breasted Tanager,45
Dalmatian Saddle Bush-cricket,45
Dun sentinel,45
Eastern White-bearded Wildebeest,45
GÃ¼ldenstÃ¤dt's Redstart ssp erythrogastrus,45
Hoary Stock,45
Jerdon's Baza,45
Lorkovic's Brassy Ringlet,45
Northern White-tailed Bumblebee,45
Shrubby Russian thistle,45
Small Dotted Buff,45
Spotted Thick-knee ssp capensis,45
Yellow-eared Parrot,45
Yellowish Flycatcher,45
Zanzibar Sykesâ€™s Monkey,45
Drab brook moss,45
Gila Woodpecker,45
Hog's Fennel,45
Malayan Peacock-Pheasant,45
Marsh Pug,45
Saharan Olivaceous Warbler,45
Simplebeak ironwort,45
White Rocket,45
Chestnut-capped Laughingthrush ssp major,45
Common Green Magpie,45
Pallid Cuckoo,45
Styan's Bulbul,45
Black Currawong,45
Eurasian Lynx,45
Humpbacked peaclam,45
Rivoli's Hummingbird,45
Coqui Francolin,45
Floating hook moss,45
Black-collared Swallow,45
Eurasian Magpie ssp bactriana,45
Monarch,45
Red Rock Skimmer,45
Sooty Dancer,45
Southern Sprite,45
Purple-breasted Cotinga,45
Abyssinian Scimitarbill,44
Abyssinian Woodpecker,44
Asian Widow,44
Besra,44
Black-winged Starling,44
Brown-throated Parakeet ssp arubensis,44
Buff-barred Warbler,44
Chinese Penduline Tit,44
Clearspot Bluewing,44
Common Brown Lemur,44
Drakensberg Rockjumper,44
Eastern Towhee,44
Florida Manatee,44
Gorgeted Sunangel,44
Green-and-black Fruiteater,44
Grey Plover ssp squatarola,44
Honey Badger,44
Krueper's Small White,44
Large-flowered Bug Parsley,44
Little Sparrowhawk,44
Long-clawed Porcelain Crab,44
Madagascan Jacana,44
Marbled Murrelet,44
Mediterranean Monk Seal,44
Paris Daisy,44
Red-fronted Coua,44
Rufous-winged Philentoma,44
Satin Bowerbird ssp violaceus,44
Side-striped Jackal,44
Whiskered Yuhina,44
White-fronted Plover ssp marginatus,44
Woolly-necked Stork ssp microscelis,44
Black-stigma case-bearer,44
Broad-leaved Cutweed,44
Campbell Albatross,44
Cape Hare,44
Collared Myna,44
English Iris,44
Lesser silver water beetle,44
Long-streak midget,44
Mealworm beetle,44
New Holland Honeyeater ssp novaehollandiae,44
Pygmy Pincer Grasshopper,44
Royal Mallow,44
Star squirt,44
Triangulate Cobweb Spider,44
Variable Sunbird ssp venustus,44
White-zoned Furrow Bee,44
White Wall-rocket,44
Blue-violet Chafer Beetle,44
European Free-tailed Bat,44
Horseshoe Bee-orchid,44
Japanese cheesewood,44
Large Meadow Mining Bee,44
Small Blue-convolvulus,44
Western Wood Pewee,44
African Common White,44
Cape Ground Squirrel,44
Puff-throated Bulbul,44
Spotted Puffbird,44
Bornean Bristlehead,44
Cryptic rosette lichen,44
White-browed Babbler,44
Preuss's Cliff Swallow,44
White-breasted Robin,44
Boreal Bluet,44
Leonora's Dancer,44
Orange Shadowdragon,44
Tiny Tyrant-Manakin,44
Gilt-edged Tanager,44
Algerian Fritillary,43
Alpine Chough ssp graculus,43
Banded Bay Cuckoo,43
Banded Chink-shell,43
Black-headed Cuckooshrike,43
Blue-capped Cordon-bleu,43
Blue-throated Mountaingem,43
Chestnut Sparrow,43
Cinnamon Bracken Warbler,43
Crested Guan ssp aequatorialis,43
Fernandina's Flicker,43
Five-leaflet Bitter-cress,43
Frogfruit,43
Gilded Barbet,43
Gold Spangle,43
Greater Crested Tern ssp bergii,43
Grey-fronted Green Pigeon,43
Gull unknown,43
Horned Screamer,43
Hungarian Vetch,43
Hybrid Bar-headed Goose x Barnacle Goose,43
Hybrid Greylag Goose x Barnacle Goose,43
Jackson's Hornbill,43
Lesser Oriental Chevrotain,43
Lilac Kingfisher,43
Little Spiderhunter,43
LyellÂ’s ribbonwort,43
Noisy Friarbird,43
Oleander Hawk-moth,43
Pied Harrier,43
Portugal Laurel,43
Purple-globe clover,43
Purple Martin,43
Ruddy Kingfisher,43
Rufous-tailed Fantail,43
Scallop,43
Scaly-breasted Lorikeet,43
Shingleback Lizard,43
Shining-blue Kingfisher,43
Snow Pigeon,43
Speckled Piculet,43
Spot-breasted Woodpecker,43
Streaked Scrub Warbler ssp inquieta,43
Tahiti Petrel,43
Torresian Crow,43
Twister,43
Velvet-fronted Nuthatch ssp frontalis,43
White-eared Puffbird,43
White-throated Treerunner,43
Wry-necked whorl snail,43
Yellow-billed Magpie,43
Yellow-winged Bat,43
Canary Island St. Johnswort,43
Chestnut-breasted Nigrita,43
Citrine Canary-flycatcher,43
Cretin Weed,43
Cuvier's Beaked Whale,43
Ladies-tresses,43
Large-billed Crow ssp japonensis,43
Little Pied Cormorant ssp melanoleucos,43
Red-flanked Lorikeet,43
Sharp-snouted Rock Lizard,43
Shrubby restharrow,43
Three-lobed whipwort,43
Toadflax Leaf Beetle,43
Wild Candytuft,43
Ionian Emperor,43
Map-winged Swift,43
Pheasant's-eye,43
Slender Oat,43
Tree spurge,43
Crescent-chested Puffbird,43
Magnificent Riflebird,43
Taiwan Blue Magpie,43
Green Wood Hoopoe ssp guineensis,43
Red-cowled Cardinal,43
Superb Sunbird,43
Adamawa Turtle Dove,43
Delta-spotted Spiketail,43
Dusky Clubtail,43
Lavender Dancer,43
Ozark Clubtail,43
Chalk Carpet,43
White-tailed Alethe,43
Acacia Tit,42
African Reed Warbler,42
Andean Flicker,42
Black-tailed Prairie Dog,42
Blue-capped Fruit Dove,42
Carolina Chickadee,42
Colocynth,42
Common Chiffchaff ssp collybita,42
Common Iora ssp multicolor,42
Dahlia anemone,42
Eastern Barn Owl ssp delicatula,42
Fire-breasted Flowerpecker,42
Giant Coua,42
Golden-bellied Gerygone,42
Greater Yellownape,42
Heaviside's Dolphin,42
Ladder flapwort,42
Lafresnaye's Vanga,42
Le Cerf's Grayling,42
Long-billed Plover,42
Madagascan Pygmy Kingfisher,42
Oriental Turtle Dove ssp orientalis,42
Pipipi,42
Plaintive Cuckoo,42
Purple Sunbird ssp asiaticus,42
Pygmy Cupwing,42
Red-tailed Blackwing,42
Shag-rug aeolis,42
Snow Bunting ssp nivalis,42
Sombre Rock Chat,42
Tacazze Sunbird,42
Tufted Tit-Tyrant,42
Vietnamese Greenfinch,42
Weka ssp australis,42
Welcome Swallow ssp neoxena,42
White-crested Tiger Heron,42
White-fronted Scops Owl,42
Yellow-throated Sandgrouse,42
Aplomado Falcon,42
Ash-breasted Sierra Finch,42
Brown Treecreeper,42
Eurasian Brown Bear,42
Forest case-bearer,42
Green-flower wintergreen,42
Hoary rock moss,42
Hooked scorpion moss,42
Japanese Wagtail,42
Large Flying Fox,42
Little Dark Bee,42
Malia,42
Marsh whorl snail,42
Matted pratia,42
Moroccan Locust,42
Nine bark,42
Sensitive Fern,42
Thick-tailed Greater Galago,42
White-naped Brushfinch,42
Yellow-billed Malkoha,42
Yellow-streaked Greenbul,42
Asia Minor Dwarf Racer,42
Black-and-cinnamon Fantail ssp hutchinsoni,42
Bosnian Blue,42
Caucasian Long-tailed Tit,42
Dung earthworm,42
Grannom or Greentail,42
Magnificent Emperor,42
Mouse-colored Penduline Tit,42
Northern whitefin gudgeon,42
Purple Vetch,42
Spotted eagle ray,42
Bat Hawk,42
Common Palm Civet,42
Five-ranked peat moss,42
Grey Currawong,42
Quadrangular pillclam,42
Slender-billed Prion,42
Swamp Francolin,42
Yellow Wattlebird,42
African Crake,42
Cliff Chipmunk,42
Wild Thyme,42
Rayed Trough Shell,42
Morepork,42
Narrowleaf Dock,42
Afghan Babbler,42
Clamp-tipped Emerald,42
European Leaf-toed Gecko,42
Lodgepole Chipmunk,42
Craneflower,42
Chestnut-backed Antshrike,42
Ashy Prinia ssp brevicauda,41
Awl-leaved pygmy moss,41
Beach Kingfisher,41
Black-and-gold Howler Monkey,41
Black-tailed Godwit ssp melanuroides,41
Black Baza,41
Blue-headed Quail-Dove,41
Blue-necked Tanager ssp cyanopygia,41
Blue Duck,41
Bonaire Whiptail,41
Cape Verde Buzzard,41
Chaff-flower,41
Chestnut-bellied Nuthatch,41
Chestnut-capped Brushfinch,41
Chestnut-eared Bunting,41
Crested Bobwhite,41
Crested Quetzal,41
Cuban Pewee,41
Dented silk moss,41
Diademed Sandpiper-Plover,41
Eastern Barn Owl ssp stertens,41
Eurasian Hoopoe ssp senegalensis,41
False Baton Blue,41
Forest Dormouse,41
Giant Antpitta,41
Heath Lobelia,41
Hooded Mountain Tanager,41
Jameson's Firefinch,41
Lesser Green Leafbird,41
Madagascan Ibis,41
Malabar Trogon ssp fasciatus,41
Malagasy Brush Warbler,41
Malayan Laughingthrush,41
Nodular Money Cowry,41
Pied Bush Chat ssp atratus,41
Potter Wasp (Eumeninae) unknown,41
Purple-banded Sunbird,41
Reed Parrotbill,41
Retz's Helmetshrike,41
Rufous-bellied Niltava,41
Scaly-throated Honeyguide,41
Schlegel's Asity,41
Side-striped Skimmer,41
Small Niltava,41
Southern Banded Groundling,41
Stripe-breasted Tit,41
Stripe-throated Bulbul ssp eous,41
Striped Kingfisher ssp chelicuti,41
Swallow-tailed Kite ssp yetapa,41
Thamnornis,41
Verreaux's Coua,41
Water Thick-knee ssp vermiculatus,41
Willow-leaved Cotoneaster,41
Yellow-eyed Black Flycatcher,41
Zitting Cisticola ssp cisticola,41
Freckle-breasted Woodpecker ssp analis,41
Ibiza Wall Lizard,41
Javan Plover,41
Maleo,41
Moss slater,41
Pale Giant Squirrel,41
Paradise Riflebird,41
Rose case-bearer,41
Sahel Paradise Whydah,41
Wahlenberg's nodding moss,41
Wild European Olive,41
Yellow Oxytropis,41
Apple blossom tineid,41
Black Noddy,41
Crimson Fruitcrow,41
Foureye butterflyfish,41
Great Rosefinch ssp rubicilla,41
Roadside toadflax,41
Shining Lady's-mantle,41
Sweet Yarrow,41
Wood Thrush,41
Woodchat Shrike ssp senator,41
Coal Tit ssp melanolophus,41
Hybrid American Wigeon x Eurasian Wigeon,41
Lotus-leaved Maidenhair Fern,41
Patagonian Sierra Finch,41
Southern Banded Snake Eagle,41
White-fronted Falconet,41
Band-tailed Manakin,41
Marail Guan,41
Mottled Owl,41
Moustached Antpitta,41
Sharpsnout seabream,41
Azores Grayling,41
African Harrier-Hawk ssp pectoralis,41
Galapagos Hawk,41
Tundra Swan,41
White-bordered Grayling,41
Collared Bush Robin,41
Scarce Long-horned Bee,41
Willow Leaf Beetle,41
Cock's-eggs,41
Duckweed Firetail,41
Golden-fronted Woodpecker,41
Eastern Grayling,41
African Black Swift,40
African Grey Flycatcher,40
Alpine lovage,40
Asian Palm Swift,40
Band-backed Wren,40
Black-and-rufous Warbling Finch,40
Black-spined Toad,40
Black-winged Cuckooshrike,40
Blackwood fern,40
Chinese leek,40
Collared Nightjar,40
Crimson-rumped Waxbill,40
Cuban Martin,40
Dingo,40
Dune Lark,40
Egyptian Clover,40
Flame-fronted Barbet,40
Forcipated pincerwort,40
Gadwall ssp strepera,40
Greek Slow Worm,40
Green Hermit,40
Grey-browed Brushfinch ssp assimilis,40
Grey-winged Blackbird,40
Hodgson's Redstart,40
Hybrid European Herring Gull x Yellow-legged Gull,40
Julia's Skimmer,40
Lesser Kudu,40
Little Grebe ssp albescens,40
Little Owl ssp vidalii,40
Polydamas Swallowtail,40
Red Rim,40
Ruddy-headed Goose,40
Spectacled Skimmer,40
Sri Lankan Jackal,40
Starry smooth-hound,40
Striped Field Mouse,40
Striped Skunk,40
Tufted Pygmy Squirrel,40
Tundra Bean Goose ssp rossicus,40
Van Dam's Vanga,40
White-bellied Antpitta,40
White-spotted Sable Moth,40
White-throated Caracara,40
Yellowtail damselfish,40
Barred Chestnut,40
Canary Islands Kinglet,40
Carpathian disc lichen,40
Cypress Pug,40
Desert Darter,40
Hooded Crow ssp cornix,40
Iberian Field Grasshopper,40
Lewin's Honeyeater ssp lewinii,40
Little Blue Carpenter Bee,40
Narrow Small-reed,40
Rockweed,40
Sacred Kingfisher ssp sanctus,40
Savage's Thin-toed Frog,40
Seaside Daisy,40
Sulphur-vented Whistler,40
Velvet Ant unknown,40
White-cheeked Pintail ssp galapagensis,40
White-winged Diuca Finch,40
Yellow-headed Blackbird,40
Azur Chalk-hill Blue,40
Earth-wrinkles lichen,40
Irish Fleabane,40
Lucerne Flea,40
Mediterranean hartwort,40
Ring Ouzel ssp torquatus,40
White-tailed Stonechat,40
Asian Red-eyed Bulbul,40
Rock Spleenwort,40
Scarlet-thighed Dacnis,40
Tasmanian Scrubwren,40
Yellow Tit,40
Bean Broomrape,40
Pine Siskin,40
Spinifex Pigeon,40
Trixago Bartsia,40
Blue-footed Booby ssp excisa,40
New Guinea Friarbird,40
Leopard Seal,40
Tasmanian Thornbill,40
Brown-cheeked Hornbill,40
Little Grey Greenbul,40
Greater Lophorina,40
Cosson's hook moss,40
Southern Double-collared Sunbird ssp chalybeus,40
African Pipit ssp rufuloides,40
American Crow ssp brachyrhynchos,39
Austral Negrito,39
Blue-eyed Fairy,39
Blue Waxbill ssp niassensis,39
Canebrake Wren,39
Chapman's Zebra,39
Chinese Cup-and-Saucer,39
Crimson-mantled Woodpecker,39
Dark-backed Wood Quail,39
Domestic Ferret,39
East Indian Brown Mabuya,39
False Mnestra Ringlet,39
Freckled Duck,39
French grunt,39
Giant Wood Rail,39
Golden-throated Barbet,39
Hartlaub's Bustard,39
Helmethead Gecko,39
Indo-Pacific Bottlenose Dolphin,39
Kariba-weed,39
Ladder Brake,39
Lemon-bellied White-eye,39
Little Greenbul ssp erythroptera,39
Madagascan Owl,39
Malayan Banded Pitta,39
Odd-spot Blue,39
Pale Flycatcher,39
Perennial Rocket,39
Pied-spot,39
Ridgway's Rail,39
Rockwarbler,39
Rufous-backed Sibia,39
Rufous-winged Fulvetta,39
Russian sage,39
Sabine's Puffback,39
San Cristobal Mockingbird,39
Scandinavian Rock Pipit,39
Sharpe's Starling,39
Solitary Cacique,39
Spectacled Imperial Pigeon,39
Subantarctic Brown Skua,39
Subdesert Mesite,39
Sulphur-bellied Warbler,39
Tesselated Skipper,39
Tickell's Leaf Warbler,39
Tufted Saxifrage,39
Whistling Cisticola,39
White-bellied Treepie,39
White-naped Honeyeater,39
White-tailed Robin,39
Alpine Enchanter's-nightshade,39
Alpine Saw Bush-cricket,39
Bird's-eyes,39
Black-bellied Whistling Duck ssp fulgens,39
Burchell's Sandgrouse,39
Dall's Porpoise,39
Dwarf Cherry,39
Killer Shrimp,39
Large midget,39
Love-lies-bleeding,39
Purple-bearded Bee-eater,39
Razorbill / Common Murre,39
Shiny nutclam,39
Snowy-bellied Hummingbird,39
Spear-leaved Willowherb,39
Unidentified Bee fly,39
White Flax,39
Common thatching grass,39
Dwarf buckeye,39
hybrid Marram Grass,39
Kirby's Mason Bee,39
Little Tern ssp albifrons,39
Pale Shining Brown,39
Sweet Mock-Orange,39
Ten-spotted Pot Beetle,39
Vespid unknown (Vespidae),39
Cream-striped Bulbul,39
False Chalkhill Blue,39
Old World Webworm,39
Pallas's Grasshopper Warbler,39
Pygmy snail,39
Venezuelan Troupial ssp ridgwayi,39
Comb Duck,39
Craven door snail,39
Lesser Violetear ssp crissalis,39
Styrian Ringlet,39
Yellow-bellied Eremomela,39
Greek Keeled Lizard,39
Andalusian barbel,39
Palmchat,39
Painted Damsel,39
Sphagnum Sprite,39
Tiger Spiketail,39
Bare-headed Laughingthrush,39
Grey Longbill,39
Rufous-crowned Eremomela,39
Western Bearded Greenbul,39
Yellow-bearded Greenbul,39
Orange-breasted Waxbill,39
Spot-backed Antbird,39
African baobab tree,38
African Rail,38
Andean Motmot,38
Black-winged Petrel,38
Brown Trembler,38
Buff-bellied Warbler,38
California Mule Deer,38
Cape May Warbler,38
Cape Porcupine,38
Common Kingfisher ssp bengalensis,38
Everett's Thrush,38
Green yoke moss,38
Guianan Brown Capuchin,38
Heart-spotted Woodpecker,38
Island Scrub Jay,38
Lesser Necklaced Laughingthrush,38
Lesson's Motmot ssp lessonii,38
Little Raven,38
Lizard Buzzard ssp monogrammicus,38
Long-billed Crow,38
Long-tailed Shrike ssp tricolor,38
Magpie Starling,38
Mountain Blackeye,38
New Caledonian Cuckooshrike,38
Olive-backed Tailorbird,38
Orange anemone,38
Pallas's Reed Bunting,38
Polistinae unknown,38
Smooth trunkfish,38
Western Black-headed Batis,38
White-winged Cliff Chat,38
White-winged Fairywren,38
Bar-winged Prinia,38
Blue-backed Parrot,38
Carpenter Bee unknown,38
Dark falsemussel,38
Duck unknown,38
European Bur-grass,38
Flightless Cormorant,38
Gravel Grasshopper,38
Robust marsh orchid,38
Sea arrow,38
Short-leaved Water-starwort,38
Siberian Hawker,38
Slender-leaved Pondweed,38
Soldier thistle,38
Stone or Pine Marten,38
Sulawesi Fantail,38
Transparent Burnet,38
White-chested Puffbird,38
Black soldier fly,38
Corsican Fire Salamander,38
Dance flies,38
French lavender,38
Lanceolated Warbler,38
Pied Skimmer,38
Potter Flower-Bee,38
Root-eating slug,38
Small Bath White,38
Spring sowbread,38
Waxy saltbush,38
Araripe Manakin,38
Black-spine nightshade,38
Crested Serpent Eagle ssp pallidus,38
Handsome Spurfowl,38
Sumatran Green Pigeon,38
Tarraco Treefrog,38
Townsend's Solitaire,38
White-eyed Parakeet,38
African Silverbill ssp orientalis,38
Grey-hooded Sierra Finch,38
Hooded Tanager,38
Leaden Flycatcher,38
Hooded Crow ssp pallescens,38
Unknown robber fly,38
Wolverine,38
Yellowhammer ssp citrinella,38
Lemon-rumped Warbler,38
Black-headed Honeyeater,38
Crimson-ringed Whiteface,38
Silvery-leaved Pink Convolvulus,38
Variegated Flycatcher,38
Hybrid Western Cattle Egret x Little Egret,38
Angular Crab,38
Glittering-throated Emerald,38
Brown Shrike ssp cristatus,38
White-faced Saki,38
Chimango Caracara ssp temucoensis,38
Plain Leaf Warbler,38
Hairy Evening-primrose,38
Paperflower,38
Banded Broadbill,37
Blue Rock Thrush ssp solitarius,37
Carpet beetle,37
Chestnut worm,37
Cocoa Woodcreeper,37
Eastern Grey Kangaroo,37
Ethiopian Cisticola,37
Eurasian Magpie ssp pica,37
Greater White-fronted Goose ssp albifrons,37
Green-and-rufous Kingfisher,37
Hairy-backed Bulbul,37
James's Flamingo,37
Lark-like Bunting,37
Lark Sparrow,37
Little Spotted Kiwi,37
Madagascan Mannikin,37
Madagascan Plover,37
Madagascan Swamp Warbler,37
Maroon Oriole,37
Northern Barred Woodcreeper,37
Orange wattle,37
Ottoman Viper,37
Pardosa lugubris-group,37
Red-fronted Tinkerbird,37
Ring-necked Dove ssp capicola,37
Rock Bunting ssp cia,37
Sand diver,37
Siberian Stonecrop,37
Southern Lapwing ssp cayennensis,37
Southern Viscacha,37
Striped Anole,37
Three-lobe sage,37
Welshman's button,37
White-capped Tanager,37
White-faced Cuckoo-Dove,37
African Citril,37
Broad Damsel Bug,37
Brown-rumped Bunting,37
Brush-clawed Shore Crab,37
Bur Forget-me-not,37
Cream pincushions,37
Eurasian Jay ssp albipectus,37
Magpie-lark ssp cyanoleuca,37
Oriental Dollarbird ssp orientalis,37
Oysterplant,37
Pauper Pug,37
Purple-winged Roller,37
Rufous-bellied Heron,37
Spot-flanked Barbet,37
Sulawesi Pygmy Woodpecker,37
Thorow-wax,37
Tree snail,37
Wauke,37
Whooping Motmot,37
Alopecosa,37
Clover slender,37
Eastern Woodchat Shrike,37
Eurasian Sand Boa,37
Geoffroy's Tamarin,37
Lesser Masterwort,37
Marsh Carpet,37
Neosphaleroptera,37
Northern Fulmar ssp auduboni,37
Spot-fin porcupinefish,37
Unidentified Marsh Fly,37
Beach Pine,37
Crane Hawk,37
Golden Streamskimmer,37
Spot-billed Toucanet,37
Spotted Adonis Blue,37
Canary White-eye,37
Palm Tanager ssp melanoptera,37
Sad Stock,37
White-rumped Seedeater,37
Legge's Hawk-Eagle,37
Lichtenstein's Sandgrouse ssp lichtensteinii,37
Plantain,37
Hognosed Pit Viper,37
Schalow's Turaco,37
Pantel's Grasshopper,37
Rose-crowned Fruit Dove,37
Midland Clubtail,37
Rainbow Bluet,37
Saffron-winged Meadowhawk,37
Taiga Bluet,37
Collared Puffbird,37
Blue-headed Wood Dove,37
Black-throated Antshrike,37
Painted Tody-Flycatcher,37
Tsessebe s.s.,37
White-throated Pewee,37
Amazonian Trogon,36
Australian tube worm,36
Black-crested Coquette,36
Black-eared Shrike-babbler,36
Black Laughingthrush,36
Blackbar soldierfish,36
Blue Tang,36
Bristly Hawk's-beard,36
Bronze-winged Duck,36
Brown-capped Pygmy Woodpecker,36
Brown chromis,36
Brush Bronzewing,36
Crested Bunting,36
Dwarf Gorse,36
Eurasian Stone-curlew ssp saharae,36
European Ratsnake,36
Everett's White-eye,36
Fawn-breasted Tanager,36
Fence-rail clad lichen,36
Fennec Fox,36
Fox Kestrel,36
Fragrant Bug Orchid,36
Garden Acraea Butterfly,36
Gillett's Lark,36
Gilthead seabream,36
Great Eared Nightjar,36
Haworth's Minor,36
Himalayan Flameback,36
Keel-billed Motmot,36
Long-legged Wood Frog,36
Mediterranean Bluet,36
Metallic-green Tanager,36
Netted Pug,36
New Zealand Pipit,36
Northeast Atlantic Grey Seal,36
Ochre-breasted Antpitta,36
Orange-fronted Parakeet,36
Oriental Garden Lizard,36
Pale-flowered Orchid,36
Pyrenean Chamois ssp pyrenaica,36
Red-chested Goshawk,36
Red-faced Skimmer,36
Red-shouldered Vanga,36
Red Giant Flying Squirrel,36
Rosy Pipit,36
Rufous-chested Plover,36
Saadi's Heath,36
Sabine's Spinetail,36
Scaly Spurfowl,36
Scarce alder slender,36
Scarlet Minivet ssp semiruber,36
Seychelles Paradise Flycatcher,36
Short-legged Ground Roller,36
Spot-breasted Parrotbill,36
Spotted Crocias,36
Spotted goatfish,36
Sweet orange,36
Twoband anemonefish,36
Variegated Fairywren,36
Wall Bedstraw,36
Western Guereza,36
White Cockatoo,36
White sallow case-bearer,36
Winter Wren,36
African Firefinch,36
Balkan Saw Bush-cricket,36
Banded Garden Spider,36
Barn Swallow ssp gutturalis,36
Caspian Pond Turtle,36
Cory's/Scopoli's Shearwater,36
Curry-plant,36
